1,2.914663 %
2,1.051683 %
3,0.911458 %
4,0.821314 %
5,0.781250 %
6,0.731170 %
7,0.711138 %
8,0.871394 %
9,0.751202 %
10,0.861378 %
11,0.721154 %
12,0.741186 %
13,0.741186 %
14,0.671074 %
15,0.711138 %
16,0.881410 %
17,0.791266 %
18,0.631010 %
19,0.631010 %
20,0.701122 %
21,0.761218 %
22,0.721154 %
23,0.580929 %
24,0.721154 %
25,0.721154 %
26,0.651042 %
27,0.661058 %
28,0.570913 %
29,0.580929 %
30,0.651042 %
31,0.711138 %
32,0.711138 %
33,0.610978 %
34,0.550881 %
35,0.661058 %
36,0.651042 %
37,0.530849 %
38,0.641026 %
39,0.600962 %
40,0.560897 %
41,0.580929 %
42,0.590946 %
43,0.620994 %
44,0.620994 %
45,0.620994 %
46,0.651042 %
47,0.600962 %
48,0.570913 %
49,0.610978 %
50,0.761218 %
51,0.580929 %
52,0.590946 %
53,0.540865 %
54,0.590946 %
55,0.610978 %
56,0.520833 %
57,0.590946 %
58,0.590946 %
59,0.550881 %
60,0.590946 %
61,0.550881 %
62,0.530849 %
63,0.540865 %
64,0.560897 %
65,0.610978 %
66,0.641026 %
67,0.751202 %
68,0.570913 %
69,0.540865 %
70,0.550881 %
71,0.540865 %
72,0.580929 %
73,0.631010 %
74,0.620994 %
75,0.691106 %
76,0.600962 %
77,0.751202 %
78,0.610978 %
79,0.580929 %
80,0.580929 %
81,0.600962 %
82,0.691106 %
83,0.631010 %
84,0.570913 %
85,0.580929 %
86,0.590946 %
87,0.600962 %
88,0.550881 %
89,0.661058 %
90,0.580929 %
91,0.510817 %
92,0.610978 %
93,0.600962 %
94,0.570913 %
95,0.560897 %
96,0.631010 %
97,0.570913 %
98,0.540865 %
99,0.570913 %
100,0.580929 %
101,0.480769 %
102,0.490785 %
103,0.500801 %
104,0.510817 %
105,0.510817 %
106,0.550881 %
107,0.500801 %
108,0.530849 %
109,0.520833 %
110,0.520833 %
111,0.530849 %
112,0.530849 %
113,0.530849 %
114,0.490785 %
115,0.520833 %
116,0.510817 %
117,0.530849 %
118,0.530849 %
119,0.520833 %
120,0.510817 %
121,0.520833 %
122,0.520833 %
123,0.530849 %
124,0.520833 %
125,0.510817 %
126,0.540865 %
127,0.510817 %
128,0.510817 %
129,0.520833 %
130,0.540865 %
131,0.510817 %
132,0.530849 %
133,0.540865 %
134,0.500801 %
135,0.540865 %
136,0.530849 %
137,0.530849 %
138,0.520833 %
139,0.540865 %
140,0.510817 %
141,0.540865 %
142,0.530849 %
143,0.530849 %
144,0.480769 %
145,0.520833 %
146,0.510817 %
147,0.520833 %
148,0.530849 %
149,0.530849 %
150,0.530849 %
151,0.530849 %
152,0.530849 %
153,0.560897 %
154,0.530849 %
155,0.490785 %
156,0.530849 %
157,0.540865 %
158,0.520833 %
159,0.500801 %
160,0.520833 %
161,0.510817 %
162,0.530849 %
163,0.520833 %
164,0.540865 %
165,0.500801 %
166,0.510817 %
167,0.540865 %
168,0.530849 %
169,0.510817 %
170,0.520833 %
171,0.470753 %
172,0.540865 %
173,0.520833 %
174,0.550881 %
175,0.500801 %
176,0.530849 %
177,0.500801 %
178,0.520833 %
179,0.510817 %
180,0.500801 %
181,0.540865 %
182,0.510817 %
183,0.510817 %
184,0.540865 %
185,0.530849 %
186,0.490785 %
187,0.520833 %
188,0.480769 %
189,0.500801 %
190,0.480769 %
191,0.470753 %
192,0.510817 %
193,0.520833 %
194,0.510817 %
195,0.520833 %
196,0.560897 %
197,0.500801 %
198,0.510817 %
199,0.520833 %
200,0.520833 %
201,0.530849 %
202,0.550881 %
203,0.550881 %
