1,2.253606 %
2,1.021635 %
3,1.051683 %
4,0.811298 %
5,0.731170 %
6,0.761218 %
7,0.771234 %
8,0.761218 %
9,0.791266 %
10,0.731170 %
11,0.781250 %
12,0.691106 %
13,0.661058 %
14,0.821314 %
15,0.721154 %
16,0.711138 %
17,0.651042 %
18,0.631010 %
19,0.681090 %
20,0.600962 %
21,0.631010 %
22,0.681090 %
23,0.641026 %
24,0.711138 %
25,0.641026 %
26,0.631010 %
27,0.661058 %
28,0.641026 %
29,0.651042 %
30,0.741186 %
31,0.580929 %
32,0.661058 %
33,0.620994 %
34,0.590946 %
35,0.610978 %
36,0.681090 %
37,0.540865 %
38,0.641026 %
39,0.691106 %
40,0.540865 %
41,0.540865 %
42,0.530849 %
43,0.631010 %
44,0.580929 %
45,0.560897 %
46,0.600962 %
47,0.580929 %
48,0.600962 %
49,0.641026 %
50,0.570913 %
51,0.610978 %
52,0.590946 %
53,0.631010 %
54,0.620994 %
55,0.631010 %
56,0.600962 %
57,0.560897 %
58,0.651042 %
59,0.580929 %
60,0.560897 %
61,0.510817 %
62,0.520833 %
63,0.560897 %
64,0.560897 %
65,0.530849 %
66,0.590946 %
67,0.550881 %
68,0.681090 %
69,0.620994 %
70,0.570913 %
71,0.550881 %
72,0.620994 %
73,0.580929 %
74,0.631010 %
75,0.610978 %
76,0.550881 %
77,0.600962 %
78,0.560897 %
79,0.540865 %
80,0.560897 %
81,0.590946 %
82,0.600962 %
83,0.590946 %
84,0.570913 %
85,0.540865 %
86,0.580929 %
87,0.590946 %
88,0.540865 %
89,0.641026 %
90,0.560897 %
91,0.570913 %
92,0.570913 %
93,0.671074 %
94,0.550881 %
95,0.600962 %
96,0.651042 %
97,0.590946 %
98,0.570913 %
99,0.510817 %
100,0.600962 %
101,0.500801 %
102,0.550881 %
103,0.540865 %
104,0.550881 %
105,0.540865 %
106,0.530849 %
107,0.540865 %
108,0.510817 %
109,0.550881 %
110,0.550881 %
111,0.550881 %
112,0.540865 %
113,0.540865 %
114,0.530849 %
115,0.530849 %
116,0.550881 %
117,0.520833 %
118,0.530849 %
119,0.540865 %
120,0.530849 %
121,0.530849 %
122,0.530849 %
123,0.520833 %
124,0.550881 %
125,0.520833 %
126,0.530849 %
127,0.530849 %
128,0.530849 %
129,0.530849 %
130,0.540865 %
131,0.520833 %
132,0.520833 %
133,0.530849 %
